S-box 598: rank=12, redundant_rows=0
S-box 599: rank=12, redundant_rows=0
S-box 600: rank=12, redundant_rows=0
S-box 601: rank=12, redundant_rows=0
S-box 602: rank=12, redundant_rows=0
S-box 603: rank=12, redundant_rows=0
S-box 604: rank=12, redundant_rows=0
S-box 605: rank=12, redundant_rows=0
S-box 606: rank=12, redundant_rows=0
S-box 607: rank=12, redundant_rows=0
S-box 608: rank=12, redundant_rows=0
S-box 609: rank=12, redundant_rows=0
S-box 610: rank=12, redundant_rows=0
S-box 611: rank=7, redundant_rows=0
S-box 612: rank=12, redundant_rows=0
S-box 613: rank=12, redundant_rows=0
S-box 614: rank=12, redundant_rows=0
S-box 615: rank=12, redundant_rows=0
S-box 616: rank=12, redundant_rows=0
S-box 617: rank=12, redundant_rows=0
S-box 618: rank=12, redundant_rows=0
S-box 619: rank=12, redundant_rows=0
S-box 620: rank=12, redundant_rows=0
S-box 621: rank=12, redundant_rows=0
S-box 622: rank=7, redundant_rows=0
S-box 623: rank=12, redundant_rows=0
S-box 624: rank=12, redundant_rows=0
S-box 625: rank=12, redundant_rows=0
S-box 626: rank=12, redundant_rows=0
S-box 627: rank=12, redundant_rows=0
S-box 628: rank=12, redundant_rows=0
S-box 629: rank=12, redundant_rows=0
S-box 630: rank=12, redundant_rows=0
S-box 631: rank=12, redundant_rows=0
S-box 632: rank=12, redundant_rows=0
S-box 633: rank=12, redundant_rows=0
S-box 634: rank=12, redundant_rows=0
S-box 635: rank=12, redundant_rows=0
S-box 636: rank=12, redundant_rows=0
S-box 637: rank=12, redundant_rows=0
S-box 638: rank=7, redundant_rows=0
S-box 639: rank=12, redundant_rows=0
S-box 640: rank=12, redundant_rows=0
S-box 641: rank=12, redundant_rows=0
S-box 642: rank=12, redundant_rows=0
S-box 643: rank=12, redundant_rows=0
S-box 644: rank=12, redundant_rows=0
S-box 645: rank=12, redundant_rows=0
S-box 646: rank=12, redundant_rows=0
S-box 647: rank=12, redundant_rows=0
S-box 648: rank=12, redundant_rows=0
S-box 649: rank=12, redundant_rows=0
S-box 650: rank=12, redundant_rows=0
S-box 651: rank=12, redundant_rows=0
S-box 652: rank=12, redundant_rows=0
S-box 653: rank=12, redundant_rows=0
S-box 654: rank=12, redundant_rows=0
S-box 655: rank=12, redundant_rows=0
S-box 656: rank=12, redundant_rows=0
S-box 657: rank=12, redundant_rows=0
S-box 658: rank=12, redundant_rows=0
S-box 659: rank=12, redundant_rows=0
S-box 660: rank=12, redundant_rows=0
S-box 661: rank=12, redundant_rows=0
S-box 662: rank=12, redundant_rows=0
S-box 663: rank=12, redundant_rows=0
S-box 664: rank=12, redundant_rows=0
S-box 665: rank=12, redundant_rows=0
S-box 666: rank=12, redundant_rows=0
S-box 667: rank=12, redundant_rows=0
S-box 668: rank=12, redundant_rows=0
S-box 669: rank=12, redundant_rows=0
S-box 670: rank=12, redundant_rows=0
S-box 671: rank=12, redundant_rows=0
S-box 672: rank=7, redundant_rows=0
S-box 673: rank=12, redundant_rows=0
S-box 674: rank=12, redundant_rows=0
S-box 675: rank=12, redundant_rows=0
S-box 676: rank=12, redundant_rows=0
S-box 677: rank=12, redundant_rows=0
S-box 678: rank=12, redundant_rows=0
S-box 679: rank=12, redundant_rows=0
S-box 680: rank=12, redundant_rows=0
S-box 681: rank=12, redundant_rows=0
S-box 682: rank=12, redundant_rows=0
S-box 683: rank=12, redundant_rows=0
S-box 684: rank=12, redundant_rows=0
S-box 685: rank=12, redundant_rows=0
S-box 686: rank=12, redundant_rows=0
S-box 687: rank=12, redundant_rows=0
S-box 688: rank=12, redundant_rows=0
S-box 689: rank=7, redundant_rows=0
S-box 690: rank=12, redundant_rows=0
S-box 691: rank=7, redundant_rows=0
S-box 692: rank=12, redundant_rows=0
S-box 693: rank=12, redundant_rows=0
S-box 694: rank=12, redundant_rows=0
S-box 695: rank=12, redundant_rows=0
S-box 696: rank=7, redundant_rows=0
S-box 697: rank=12, redundant_rows=0
S-box 698: rank=12, redundant_rows=0
S-box 699: rank=7, redundant_rows=0
